Company Name,Equity,Ticker Symbol,E,E out of 100,S,G,ESG,EPS,Profit Margin ,Tobin's Q,Return on Asset,Return on Equity,Debt To Market Cap Ratio,Total Asset Turnover,Price to Sales Ratio
Mitsui E&S Holdings Co Ltd,JP Equity,7003 JP Equity,1.9,37,1,1.7,1.53333333333333,0.0233333333333334,0.0291784970773392,0.897856626144031,-0.0315219772290082,-0.0522100803083201,2.12691525218059,0.687151516665187,0.179431317194554
Marubeni Corp,JP Equity,8002 JP Equity,3,59,2.8,3.6,3.13333333333333,29.6766666666667,2.79596189628082,0.970056097634249,2.87457203516271,13.5403513252158,2.01406922761159,1.0816663324884,0.182055075210683
Kroger Co/The,US Equity,KR US Equity,3,59,2,5,3.33333333333333,1.0475,2.71506033514965,1.39826897984481,5.95169572637844,33.0001606161683,0.69095321006875,3.32739827031526,0.184649317191188
Japan Post Insurance Co Ltd,JP Equity,7181 JP Equity,2,39,1.2,2,1.73333333333333,44.6406666666667,1.39581451799279,0.992693236510788,0.125560346027296,5.07154161921428,2.53861985913941,0.102107541697286,0.186554553030269
Nippon Yusen KK,JP Equity,9101 JP Equity,4,79,3.1,4,3.7,29.1866666666667,0.876505106349807,0.935408497587054,-0.489673817727964,-1.97198005304257,2.43446761178645,1.03142252982706,0.19113261584987
Korea Gas Corp,KS Equity,036460 KS Equity,3.8,75,3,3.5,3.43333333333333,-2562.66486566667,-8.24577781971059,0.882792459554708,-3.26619069677044,-14.0595157398578,5.51761665096536,0.582568574813088,0.192523657927948
GS Engineering & Construction Corp,KS Equity,006360 KS Equity,2.2,43,2.3,2.9,2.46666666666667,458.724260333333,1.0443039188646,0.912914773003391,-0.36175857834398,-1.5453267949356,1.59506248842889,0.893775812754798,0.194316935457154
Suzuken Co Ltd/Aichi Japan,JP Equity,9987 JP Equity,1,19,0.9,2,1.3,55.34,0.970389859039052,1.0080699420259,1.69519702912514,4.9913665566766,0.00176692404903787,1.81181969899567,0.196188877645768
Metcash Ltd,AU Equity,MTS AU Equity,1.9,37,1.4,3.6,2.3,-0.0770135,-0.978584479836366,1.40620452464038,0.497132517383006,0.947187007904809,0.0536377838380758,3.77772017566966,0.196785475658138
HDC Holdings Co Ltd,KS Equity,012630 KS Equity,0.2,3,0.5,1.1,0.6,3591.68223807664,16.3593073576031,1.09738557127884,6.49058240655518,19.4399992702127,0.416407475857202,0.735491999058298,0.197065927747473
J Sainsbury PLC,LN Equity,SBRY LN Equity,3.3,65,3.3,2.7,3.1,0.0681885,1.08445082926912,0.931974439028132,1.34106623361389,4.28645397243008,0.39231771432274,1.37670749216598,0.197964100438657
Alfresa Holdings Corp,JP Equity,2784 JP Equity,0.6,11,1.2,2.5,1.43333333333333,45.7866666666667,1.51574260093565,1.0682413161212,2.56119078240705,8.30158087229389,0.00547544994061408,1.98921289342064,0.198993274163555
Hyundai Wia Corp,KS Equity,011210 KS Equity,0.5,9,1.1,3,1.53333333333333,-1537.66668466667,-2.20531668599435,0.786134496765544,-0.312287425959857,-0.716115402632394,1.39490860842892,1.0651258336757,0.212928848023312
Aeon Co Ltd,JP Equity,8267 JP Equity,2.8,55,2.5,3.5,2.93333333333333,8.1575,0.353960147762047,1.0442462870625,0.266516066688265,2.15727814910429,1.40133086814227,0.810367489114303,0.215518466201155
Dixons Carphone PLC,LN Equity,DC/ LN Equity,2.4,47,3.7,2.5,2.86666666666667,0.0718155,1.5208056914326,0.875660844426658,2.67662433902784,6.64692717849661,0.21686321095299,1.3995151232285,0.217057498369961
JXTG Holdings Inc,JP Equity,5020 JP Equity,2.4,47,1.8,2.6,2.26666666666667,33.4566666666667,4.27168771275207,0.972569033143998,3.93748515564644,14.7775150830484,1.15431901279958,1.25330415373195,0.217632720006482
Toyota Tsusho Corp,JP Equity,8015 JP Equity,1.3,25,1.8,2.1,1.73333333333333,88.2833333333333,1.89404469595069,1.0448922947624,3.18831152338259,12.8221710690879,1.15327843725313,1.5057650375604,0.218552811821197
Hokkaido Electric Power Co Inc,JP Equity,9509 JP Equity,2.3,45,1.4,2,1.9,20.3536666666667,2.22634554684302,1.00379692890073,0.451974523216215,4.55498698541748,8.75983163542705,0.388736087212488,0.219591764030121
FIH Mobile Ltd,HK Equity,2038 HK Equity,2.2,43,2.4,2,2.2,-0.041226,-4.26850173747594,0.919495498983806,-6.67270632426307,-15.5983117192674,0.281705937440047,1.53394901100871,0.220693906874331
Bunge Ltd,US Equity,BG US Equity,2.4,47,2.8,3.1,2.76666666666667,-0.0333333333333333,0.0303414097590561,1.15817255685529,1.22690395125466,3.24496829469181,0.584626809508876,2.25284886014301,0.221832922887037
Aegon NV,NA Equity,AGN NA Equity,4,79,4.3,4.1,4.13333333333333,0.3600425,5.83677504602183,0.975694571820088,0.506912041882197,9.3938542519758,1.36853073430019,0.114735126574111,0.222917989339644
RWE AG,GR Equity,RWE3 GR Equity,3.4,67,2.9,3.5,3.26666666666667,-0.0796253333333333,-0.751255362022395,1.06081316231342,-0.00479684754387577,-0.637445997953316,1.54859141580672,0.583894623007074,0.2231902697047
Kawasaki Kisen Kaisha Ltd,JP Equity,9107 JP Equity,4.3,85,3.4,3.5,3.73333333333333,6.61,0.23860727775639,1.0299002868765,-4.43212306272548,-17.5195757363106,2.02263793564917,1.08558962383763,0.22342478001191
AutoNation Inc,US Equity,AN US Equity,0.3,5,0.8,5,2.03333333333333,1.22,2.07942718119139,1.20567249424292,4.18984728045741,18.0474948216864,1.41485421596327,2.14085065913231,0.223587685100299
Daewoo Engineering & Construction Co Ltd,KS Equity,047040 KS Equity,1.5,29,2.3,2.6,2.13333333333333,38.666519,0.605743653655296,1.02785597599641,0.224681818865345,1.77493609916063,0.83822880449148,1.22026222047453,0.225282996051916
Kobe Steel Ltd,JP Equity,5406 JP Equity,2,39,2,1.7,1.9,35.1233333333333,2.66458339528979,0.861367945616716,2.1038136300933,6.87606144587245,1.93110647802191,0.804551260736491,0.226745496178771
Nippon Paper Industries Co Ltd,JP Equity,3863 JP Equity,3.5,69,3.1,3,3.2,6.51333333333333,0.27853883792002,0.861991621831037,1.12323732762581,3.76586512481754,2.91127553093678,0.738962123986513,0.231392914419764
LS Corp,KS Equity,006260 KS Equity,0.2,3,0.2,3,1.13333333333333,6530,7.11771622255112,0.930455503865886,3.68437179455598,14.3954584892898,1.58347682702592,0.953997553754805,0.232897476554678
Korean Air Lines Co Ltd,KS Equity,003490 KS Equity,2.5,49,4.3,3,3.26666666666667,1482.576546,4.5572196860311,0.990535037197742,1.0755749164358,9.13198691193461,4.91723911524252,0.49487427374698,0.240217482803347
Daelim Industrial Co Ltd,KS Equity,000210 KS Equity,0.8,15,1,2.4,1.4,4257.99152933333,5.27567339485741,0.832912959916315,4.17191732964065,10.2045998543848,1.13735618600508,0.931684361964719,0.242629303543995
Sojitz Corp,JP Equity,2768 JP Equity,1.8,35,2.2,3.6,2.53333333333333,11.25,3.04562675858787,0.927097489556133,2.48046862050119,9.92599212775062,2.34090589326917,0.79857691812287,0.244856498317095
LG Hausys Ltd,KS Equity,108670 KS Equity,0.9,17,1.6,3.5,2,928.666652666667,1.1077991775222,0.932080723589361,2.70912669956446,6.52392130002876,1.43563654746519,1.27887870922079,0.246183198708465
Mitsui OSK Lines Ltd,JP Equity,9104 JP Equity,3.8,75,3,3.5,3.43333333333333,-146.703333333333,-4.27985084810151,0.929999550989993,-0.442866800339308,-1.84410509818368,2.74490280300329,0.747450733247319,0.248709308802148
Kia Motors Corp,KS Equity,000270 KS Equity,3,59,2.6,2.5,2.7,203.333333333333,0.725428370153371,0.735171440271851,1.79887493142554,3.49889620995821,0.636187479734281,1.03226806106389,0.251878204207731
LG Electronics Inc,KS Equity,066570 KS Equity,4.3,85,4,2.3,3.53333333333333,2127,2.50184425858937,1.06518540443074,3.93407483367149,11.0998159477664,0.61770748590711,1.54078497233743,0.253630039690255
Lotte Shopping Co Ltd,KS Equity,023530 KS Equity,1.7,33,1.1,3.5,2.1,-3131.51341518542,-5.36755863998225,0.803552796879496,-0.782735364625836,-2.17853641590172,1.35867264976483,0.553826606807893,0.255591403886244
Hyundai Marine & Fire Insurance Co Ltd,KS Equity,001450 KS Equity,3,59,0.8,2.9,2.23333333333333,1173.000006,2.76113054349542,1.01173677676402,1.18975227566339,15.0761148214169,0.299179167199409,0.344114080158295,0.25609293257396
Bed Bath & Beyond Inc,US Equity,BBBY US Equity,2.8,55,2.6,5,3.46666666666667,0.71,3.02195955787308,1.04580002797366,6.77830750235154,17.3009045111998,0.478453996104564,1.76446008660465,0.260228969232873
Jabil Inc,US Equity,JBL US Equity,3.4,67,3.9,3,3.43333333333333,0.27,0.884439793639824,1.24228206915909,1.26167828057529,5.85933856596557,0.437747943871926,1.85855758462037,0.261225771800812
Talanx AG,GR Equity,TLX GR Equity,3,59,2.5,4.1,3.2,0.560635666666667,1.64924426127064,0.999781737024692,0.427031698706066,7.58899405158314,0.437649824901448,0.20986985198616,0.264749073626357
Hanwha Life Insurance Co Ltd,KS Equity,088350 KS Equity,1,19,0.8,2,1.26666666666667,82.6668973333333,-2.78966718671154,0.964905590806769,0.154560027543615,5.53676581051585,0.0624826657131295,0.154408074979342,0.267755046047889
Arrow Electronics Inc,US Equity,ARW US Equity,0.9,17,2.7,2.7,2.1,1.23666666666667,1.55498430676819,1.1251681215966,3.0543581424448,9.51046473831735,0.47447498978892,1.81782690148448,0.267998906305513
Showa Shell Sekiyu KK,JP Equity,5002 JP Equity,2.7,53,2.6,3.3,2.86666666666667,44.3666666666667,2.82060484013337,1.28156262617219,4.08355267386386,16.7169129796278,0.281275962604348,2.09125827105566,0.268214017394391
Peugeot SA,FP Equity,UG FP Equity,4.2,83,4,3.9,4.03333333333333,0.750104,1.86711055624913,1.01377901663186,3.75810945079779,14.1806954348306,0.42046586580505,1.27043191957763,0.268841787908025
Sumitomo Forestry Co Ltd,JP Equity,1911 JP Equity,3.4,67,2.8,3.7,3.3,51.9966666666667,2.64992647110003,1.0340101842903,4.01405011915096,11.9234658669178,0.596845773853037,1.46920934218031,0.269656734933335
Mazda Motor Corp,JP Equity,7261 JP Equity,3.5,69,3.8,2.1,3.13333333333333,40.84,2.82665227244051,0.926555406318437,4.01969971687216,9.60703893542442,0.532036094987964,1.31649651275357,0.272933500510436
Israel Corp Ltd/The,IT Equity,ILCO IT Equity,1.7,33,1.3,1.6,1.53333333333333,24.0307583333333,13.2124678937684,1.03057065282593,2.32068310098173,24.2736483283904,3.53771465202234,0.509742284639921,0.273293710624418
Oil Refineries Ltd,IT Equity,ORL IT Equity,0.5,9,1,0.4,0.633333333333333,0.0254613333333333,5.24488563107349,1.08908456114312,7.0003444823595,24.5607723058626,1.12453109412052,1.48064347506434,0.274115407421838
H2O Retailing Corp,JP Equity,8242 JP Equity,1.4,27,0.6,2.5,1.5,28.64,1.40517459802615,0.963827399488483,2.20111496036599,5.26904039614537,0.629127033587678,1.39382916520911,0.276107617883172
Avnet Inc,US Equity,AVT US Equity,1.9,37,1.5,2.7,2.03333333333333,-0.603333333333333,-1.46354610581622,0.966271862968078,2.51788143619039,5.60155782284654,0.347546308690438,1.73645274678902,0.277488453913511
RWE AG,GR Equity,RWE GR Equity,3.4,67,2.9,3.5,3.26666666666667,-0.0796253333333333,-0.751255362022395,1.06081316231342,-0.00479684754387577,-0.637445997953316,1.54859141580672,0.583894623007074,0.279116459134564
Nissan Shatai Co Ltd,JP Equity,7222 JP Equity,3,59,2.8,2.1,2.63333333333333,-9.88333333333333,-1.09596501651914,0.986476326292231,0.637441920923289,1.02058364332539,0.0630104058019117,2.12264889923791,0.280017547407898
NEC Corp,JP Equity,6701 JP Equity,3.8,75,4.1,3.5,3.8,48.81,1.53867743806129,0.969070589344222,1.59525022717552,5.08026715330476,0.667406007683211,1.06523412319633,0.283074767015337
Li & Fung Ltd,HK Equity,494 HK Equity,3.2,63,3.4,3.3,3.3,-0.056863,-7.07212928875397,1.44544251745506,-4.36550348346079,-18.5014247519094,0.201384244555149,1.90317336672765,0.283791786098921
George Weston Ltd,CN Equity,WN CN Equity,1.7,33,1.4,5,2.7,1.64,1.68812036590477,1.17129434686336,2.11712358197574,10.8085929431913,1.00358470827732,1.27507796159343,0.283846938196804
Nisshin Steel Co Ltd,JP Equity,5413 JP Equity,1.3,25,1.3,2.6,1.73333333333333,29.81,2.07215582025132,0.912440152856024,1.72875516112456,5.57768704222416,1.42634378898028,0.8576749857538,0.284648954389558
Distribuidora Internacional de Alimentacion SA,SM Equity,DIA SM Equity,2.4,47,2.7,4.5,3.2,0.028142,0.81453641210769,1.63533591161374,3.0976163235277,32.9487937322786,0.531863079062988,2.33030531602653,0.292779390230348
Hyundai Engineering & Construction Co Ltd,KS Equity,000720 KS Equity,2.7,53,2.3,2.3,2.43333333333333,405.000001333333,1.2235587200225,0.892533530478674,1.68517671414176,5.09536036837192,0.502237797882733,0.900077905348575,0.293518842911368
Ford Motor Co,US Equity,F US Equity,3.9,77,3.8,3.5,3.73333333333333,0.478679333333333,4.7524412800241,1.04770956256249,2.63885253965366,20.1744430012988,3.31917382167732,0.630184110126884,0.294762206951014
Power Corp of Canada,CN Equity,POW CN Equity,5,99,2.6,3.3,3.63333333333333,0.863333333333333,3.59254140183807,1.00169733872025,0.346932541912247,10.9618436398149,0.643020380707265,0.111750019346412,0.29478484724868
DB Insurance Co Ltd,KS Equity,005830 KS Equity,5,99,1.5,3.1,3.2,2076.66892033333,3.47396503361576,0.997816607770019,1.37143381390646,14.2478241429053,0.187908381784119,0.320227853893354,0.295919505978751
CJ CheilJedang Corp,KS Equity,097950 KS Equity,2.8,55,1.3,2.6,2.23333333333333,7887.16742333333,2.4992921643308,1.05912750324761,2.19895269440226,9.71285292386357,1.48044993947542,1.00404473044831,0.297296110393146
Doosan Infracore Co Ltd,KS Equity,042670 KS Equity,2.6,51,2.7,3,2.76666666666667,211.470389333333,2.56259324543813,0.997703308509156,0.930625773272099,4.53341505496122,2.42730709494323,0.640295052175184,0.298823990607067
ACS Actividades de Construccion y Servicios SA,SM Equity,ACS SM Equity,4,79,4,3.4,3.8,0.673738,2.4313704281397,1.2159988473859,2.4828639406879,23.0361958141956,0.80348892192558,1.07831472827025,0.300943594879454
Harel Insurance Investments & Financial Services Ltd,IT Equity,HARL IT Equity,0,0,1.1,1.9,1,0.547363666666667,2.61635408622256,0.999906509051391,0.621159176408025,11.9459016570654,0.809354083738986,0.174627546719127,0.302995594111607
Toyota Boshoku Corp,JP Equity,3116 JP Equity,3.5,69,2.2,3,2.9,58.7233333333333,3.05410542875831,1.24603736453092,6.81863195515064,20.292704172336,0.213195149145006,2.0138588314655,0.304666411193722
Yamada Denki Co Ltd,JP Equity,9831 JP Equity,2.3,45,0.9,2.5,1.9,10.43,2.1091702096598,0.930386263428052,2.9584927828448,6.10797297320653,0.561303503495121,1.34548773596724,0.310437472912502
Nagase & Co Ltd,JP Equity,8012 JP Equity,0.9,17,0.8,2.6,1.43333333333333,36.2166666666667,2.27314441745541,0.885362962252893,2.86161618093637,5.38484331916481,0.379519758255936,1.39324526328144,0.311589708027113
Kyushu Electric Power Co Inc,JP Equity,9508 JP Equity,2.5,49,1.7,1.7,1.96666666666667,44.8533333333333,4.20906066373005,1.01235852249986,1.6205460090474,14.5718079963103,5.4223541005612,0.420372327475685,0.312092520803991
Macy's Inc,US Equity,M US Equity,3,59,3.6,5,3.86666666666667,1.3188415,4.9850717221371,1.13273660603211,5.74414423377262,24.0050398840168,0.800999442233776,1.28878587824021,0.313702928319519
Centrica PLC,LN Equity,CNA LN Equity,3.4,67,3,3.8,3.4,0.051699,2.10487982520029,1.24109049441383,1.56477609134909,12.4137931034483,0.704115694617509,1.31680842065692,0.314373107437358
Rexel SA,FP Equity,RXL FP Equity,3.1,61,3,2.7,2.93333333333333,0.075179,0.745462063802998,1.01962516405358,1.22017913653416,2.97910962716533,0.635018837849592,1.28924864140041,0.317686425481318
Wm Morrison Supermarkets PLC,LN Equity,MRW LN Equity,2.9,57,3.1,3.2,3.06666666666667,0.066592,1.80426380040172,1.10977553863984,3.51059092945008,7.98907064339458,0.267599529251349,1.78846566387457,0.320422799118359
Hyundai Motor Co,KS Equity,005380 KS Equity,3.2,63,2.5,2,2.56666666666667,3163.66666666667,3.57185888215342,0.788846476467894,2.16216671320061,4.35450842954187,2.1906527861691,0.546778179687315,0.323883118123566
Mitsubishi Materials Corp,JP Equity,5711 JP Equity,3.3,65,2.5,2.9,2.9,58.77,1.91564257623882,0.906774686071267,1.30948099187453,3.99554106292926,1.19140594434328,0.778620757742904,0.324464235224999
thyssenkrupp AG,GR Equity,TKA GR Equity,3.1,61,3,3,3.03333333333333,0.229944,1.33697644753149,1.34189683803811,-0.65932039131641,-7.85743421720358,0.588737242099355,1.19783965067956,0.326541997012341
Deutsche Lufthansa AG,GR Equity,LHA GR Equity,2.5,49,2.6,3.5,2.86666666666667,1.16810933333333,5.69587584329892,1.10083820922177,5.92461620519334,28.8720065686077,0.608254003098957,0.961095993896402,0.33712545369014
PALTAC CORPORATION,JP Equity,8283 JP Equity,0.6,11,1,4,1.86666666666667,68.1466666666667,1.78633916086371,1.36023444084257,4.32855580246312,9.69243850894379,0.111583053715478,2.4759130316861,0.341299028922578
Volkswagen AG,GR Equity,VOW3 GR Equity,2.2,43,4,1.8,2.66666666666667,5.37949366666667,4.75153376597977,0.957539835313163,2.41028237067324,10.5172868379393,2.06581782547698,0.551685244475666,0.341519110126253
Hyundai Glovis Co Ltd,KS Equity,086280 KS Equity,1.5,29,1.6,2.8,1.96666666666667,4032.999994,3.80458020737637,1.20774337181324,6.9692415744098,15.2577304848672,0.323723834978232,2.0000978438585,0.341547283026583
Wilmar International Ltd,SP Equity,WIL SP Equity,2.6,51,2.4,3.3,2.76666666666667,0.053,2.94901456450466,0.975612529480686,3.08923039581739,7.86801794964511,1.28511784277923,1.13590321728263,0.342286978280561
Volkswagen AG,GR Equity,VOW GR Equity,2.2,43,4,1.8,2.66666666666667,5.37949366666667,4.75153376597977,0.957539835313163,2.41028237067324,10.5172868379393,2.06581782547698,0.551685244475666,0.344184369915896
Rengo Co Ltd,JP Equity,3941 JP Equity,2.6,51,1.4,2.5,2.16666666666667,17.76,2.85355731182931,0.933169446790181,1.59774909723816,4.79219739186257,1.3278451378545,0.826728018299844,0.344914816249899
Vienna Insurance Group AG Wiener Versicherung Gruppe,AV Equity,VIG AV Equity,1,19,2.6,3.6,2.4,0.566700666666667,3.11657008681152,0.975443911804649,0.578041590212449,6.2248731763024,1.14597800145881,0.188354737440925,0.345148081444792
Bic Camera Inc,JP Equity,3048 JP Equity,0.3,5,0.2,4,1.5,23.08603525,1.97955899907841,1.37572181443821,4.01025538051582,12.0674500999106,0.316325328916033,2.23508402278639,0.347637856498454
Chugoku Electric Power Co Inc/The,JP Equity,9504 JP Equity,3.3,65,2,1.9,2.4,18.79,1.78325550302709,0.950435082577475,0.370912278283031,1.98993112446999,4.32563449274401,0.414310801014434,0.349784035846846
Fujikura Ltd,JP Equity,5803 JP Equity,3.6,71,3.5,4,3.7,16.6766666666667,2.38049996359953,1.03937592897192,3.55856790733976,10.575365321951,0.945426009896598,1.18313744903597,0.350370313319605
Mitsubishi Heavy Industries Ltd,JP Equity,7011 JP Equity,2.8,55,2.8,4,3.2,65.5266666666667,1.8981202135033,0.927400193835088,1.87525295131914,5.98296396556701,0.723323745450421,0.727993559818356,0.353379172918231
Megmilk Snow Brand Co Ltd,JP Equity,2270 JP Equity,0.9,17,1,2.6,1.5,49.4366666666667,2.22907167416241,1.16341146383524,3.77420356642491,8.97957086677978,0.335279287896938,1.70967249881076,0.353766975869999
Fluor Corp,US Equity,FLR US Equity,0.8,15,2.8,2.8,2.13333333333333,0.326666666666667,0.915449594511978,1.41089248870482,1.8196743504819,5.28859369207954,0.238324545972377,2.10328821264586,0.3547903494867
Samsung Heavy Industries Co Ltd,KS Equity,010140 KS Equity,1.4,27,2.6,2.5,2.16666666666667,-442.998410333333,-11.7466595067137,0.801909322445648,-1.68596103865557,-4.2310539610419,1.06155483412624,0.51801317246307,0.354915144015494
Legal & General Group PLC,LN Equity,LGEN LN Equity,5,99,3.2,3.9,4.03333333333333,0.159279,4.38047559449312,1.01656094172493,0.388402957284917,25.5747903705707,0.253904706856451,0.0831667062053072,0.35524087462616
Hokuriku Electric Power Co,JP Equity,9505 JP Equity,3,59,2,2.3,2.43333333333333,-3.87,-0.539344361572031,0.920891354460057,-0.101564783654915,-0.485916293120521,4.81723766811572,0.378553037126647,0.358272813434792
Tohoku Electric Power Co Inc,JP Equity,9506 JP Equity,2.5,49,1.7,2.6,2.26666666666667,18.3066666666667,1.76316019557899,0.996157104142627,1.32227170506862,7.73296737368084,3.33455131715193,0.490998618098233,0.358610207923619
Glencore PLC,LN Equity,GLEN LN Equity,3.2,63,3.8,4.3,3.76666666666667,0.233255,3.16287824772552,1.18793868779922,4.44054989949768,12.2917508883168,0.456896739173325,1.57941220555511,0.359116174100721
Koninklijke Ahold Delhaize NV,NA Equity,AD NA Equity,3.3,65,3.5,3.6,3.46666666666667,0.41,3.2790233454734,1.20036498555727,4.70944534443385,10.5575472600632,0.294809543885776,1.80208570965611,0.360321473102386
Itoham Yonekyu Holdings Inc,JP Equity,2296 JP Equity,2.5,49,0.9,1.7,1.7,13.3266666666667,1.82047140953547,1.1989375400595,4.25695367945355,7.56044290997423,0.162159254637464,2.18915626336859,0.362743128224753
Flex Ltd,US Equity,FLEX US Equity,3.5,69,4,3.3,3.6,0.19,1.57257218815806,1.4378558019892,3.81301386768634,18.1368848555922,0.335861187244993,1.88420112558478,0.362975822271162
Centene Corp,US Equity,CNC US Equity,1,19,1.7,5,2.56666666666667,1.49,2.03198022281106,1.4656457407345,4.16239316722505,14.022238921888,0.270538382657753,2.24163925568105,0.363157672450523
HIS Co Ltd,JP Equity,9603 JP Equity,0,0,1.4,2,1.13333333333333,49.675,1.73188433594103,1.30840303997145,2.85209589139199,13.8091114712758,0.7174872160141,1.55147469250515,0.363505232382969
LG Display Co Ltd,KS Equity,034220 KS Equity,3.4,67,3.3,2.3,3,390.666666666667,1.93658961717335,0.862043214319325,6.83814456722013,13.5726057097849,0.591612070938368,1.0281466108873,0.363752987598047
Dai-ichi Life Holdings Inc,JP Equity,8750 JP Equity,5,99,3.4,2.9,3.76666666666667,83.3146666666667,5.46497921981834,0.975673360456316,0.549524303414772,8.50763741733968,0.476494976998191,0.129629625573811,0.364017664925442
GS Retail Co Ltd,KS Equity,007070 KS Equity,0,0,0.3,3,1.1,299.997727666667,1.07404871519268,1.14526854941125,3.13309900397475,8.07202318111393,0.371677360714882,1.65155591838164,0.364305384147015
Nissan Motor Co Ltd,JP Equity,7201 JP Equity,4.7,93,3.6,2.3,3.53333333333333,52.158,6.77177081964986,0.952717882885881,4.03276255887357,15.2005418229994,1.73898260375222,0.651975118500616,0.364561624402471
NTN Corp,JP Equity,6472 JP Equity,2.9,57,2.3,2.8,2.66666666666667,10.3433333333333,2.90279945818141,1.01092324212451,1.32778853800408,4.48013949079859,1.22560228101027,0.907404809951761,0.36492358828545
IHI Corp,JP Equity,7013 JP Equity,2.1,41,2.3,3.3,2.56666666666667,-7.4,-0.271291625845285,1.14278914826903,0.998740498483527,5.26974114431287,0.57376276828056,0.950117633143251,0.364981833696976
